title,episodes,score,year,type,status,rating,duration,genres,studios,duration_min
Cowboy Bebop,26.0,8.75,1998,TV,Finished Airing,R - 17+ (violence & profanity),24 min per ep,"['Action', 'Award Winning', 'Sci-Fi']",['Sunrise'],24.0
Cowboy Bebop: Tengoku no Tobira,1.0,8.38,0,Movie,Finished Airing,R - 17+ (violence & profanity),1 hr 55 min,"['Action', 'Sci-Fi']",['Bones'],1.0
Trigun,26.0,8.22,1998,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Action', 'Adventure', 'Sci-Fi']",['Madhouse'],24.0
Witch Hunter Robin,26.0,7.23,2002,TV,Finished Airing,PG-13 - Teens 13 or older,25 min per ep,"['Action', 'Drama', 'Mystery', 'Supernatural']",['Sunrise'],25.0
Bouken Ou Beet,52.0,6.95,2004,TV,Finished Airing,PG - Children,23 min per ep,"['Action', 'Adventure', 'Fantasy']",['Toei Animation'],23.0
Eyeshield 21,145.0,7.91,2005,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,['Sports'],['Gallop'],23.0
Hachimitsu to Clover,24.0,7.98,2005,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Comedy', 'Drama', 'Romance']",['J.C.Staff'],23.0
Hungry Heart: Wild Striker,52.0,7.55,2002,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,['Sports'],['Nippon Animation'],23.0
Initial D Fourth Stage,24.0,8.17,2004,TV,Finished Airing,PG-13 - Teens 13 or older,27 min per ep,"['Action', 'Drama']",['A.C.G.T.'],27.0
Monster,74.0,8.89,2004,TV,Finished Airing,R+ - Mild Nudity,24 min per ep,"['Drama', 'Mystery', 'Suspense']",['Madhouse'],24.0
Naruto,220.0,8.02,2002,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Action', 'Adventure', 'Fantasy']",['Studio Pierrot'],23.0
One Piece,2.0,8.73,1999,TV,Currently Airing,PG-13 - Teens 13 or older,24 min,"['Action', 'Adventure', 'Fantasy']",['Toei Animation'],24.0
Tennis no Oujisama,178.0,7.84,2001,TV,Finished Airing,PG-13 - Teens 13 or older,22 min per ep,['Sports'],['Trans Arts'],22.0
Ring ni Kakero 1,12.0,6.46,2004,TV,Finished Airing,PG - Children,23 min per ep,['Sports'],['Toei Animation'],23.0
School Rumble,26.0,7.88,2004,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Comedy', 'Romance']",['Studio Comet'],23.0
Sunabouzu,24.0,7.36,2004,TV,Finished Airing,R - 17+ (violence & profanity),24 min per ep,"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Ecchi']",['Gonzo'],24.0
Texhnolyze,22.0,7.76,2003,TV,Finished Airing,R+ - Mild Nudity,23 min per ep,"['Avant Garde', 'Drama', 'Mystery', 'Sci-Fi', 'Suspense']",['Madhouse'],23.0
Trinity Blood,24.0,7.28,2005,TV,Finished Airing,R - 17+ (violence & profanity),24 min per ep,"['Action', 'Fantasy', 'Sci-Fi']",['Gonzo'],24.0
Yakitate!! Japan,69.0,7.91,2004,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Comedy', 'Gourmet']",['Sunrise'],24.0
Zipang,26.0,7.51,2004,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Action', 'Drama', 'Sci-Fi']",['Studio Deen'],24.0
Shinseiki Evangelion,26.0,8.37,1995,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Avant Garde', 'Award Winning', 'Drama', 'Sci-Fi', 'Suspense']","['Gainax', 'Tatsunoko Production']",24.0
Shinseiki Evangelion Movie: Shi to Shinsei,1.0,7.49,0,Movie,Finished Airing,R - 17+ (violence & profanity),1 hr 44 min,"['Drama', 'Sci-Fi', 'Suspense']","['Gainax', 'Production I.G', 'Tatsunoko Production']",1.0
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",1.0,8.57,0,Movie,Finished Airing,R+ - Mild Nudity,1 hr 26 min,"['Avant Garde', 'Drama', 'Sci-Fi', 'Suspense']","['Gainax', 'Production I.G']",1.0
Kenpuu Denki Berserk,25.0,8.61,1997,TV,Finished Airing,R+ - Mild Nudity,23 min per ep,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']",['OLM'],23.0
Koukaku Kidoutai,1.0,8.27,0,Movie,Finished Airing,R+ - Mild Nudity,1 hr 22 min,"['Award Winning', 'Mystery', 'Sci-Fi', 'Suspense']",['Production I.G'],1.0
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,4.0,8.69,0,OVA,Finished Airing,R - 17+ (violence & profanity),29 min per ep,"['Action', 'Drama', 'Romance']",['Studio Deen'],29.0
Rurouni Kenshin: Meiji Kenkaku Romantan,94.0,8.28,1996,TV,Finished Airing,PG-13 - Teens 13 or older,25 min per ep,"['Action', 'Comedy', 'Romance']","['Gallop', 'Studio Deen']",25.0
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,1.0,7.55,0,Movie,Finished Airing,R - 17+ (violence & profanity),1 hr 30 min,['Drama'],['Gallop'],1.0
Akira,1.0,8.16,0,Movie,Finished Airing,R+ - Mild Nudity,2 hr 4 min,"['Action', 'Horror', 'Sci-Fi']",['Tokyo Movie Shinsha'],2.0
.hack//Sign,26.0,6.95,2002,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Adventure', 'Fantasy', 'Mystery']",['Bee Train'],24.0
Aa! Megami-sama!,5.0,7.28,0,OVA,Finished Airing,PG-13 - Teens 13 or older,30 min per ep,"['Comedy', 'Romance', 'Supernatural']",['AIC'],30.0
Aa! Megami-sama! (TV),24.0,7.31,2005,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Comedy', 'Romance', 'Supernatural']",['AIC'],24.0
Tenshi Kinryouku,3.0,6.24,0,OVA,Finished Airing,R+ - Mild Nudity,29 min per ep,"['Action', 'Drama', 'Romance', 'Supernatural']",['HAL Film Maker'],29.0
Kidou Tenshi Angelic Layer,26.0,7.26,2001,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Award Winning', 'Comedy', 'Drama', 'Sci-Fi']",['Bones'],24.0
Ai Yori Aoshi,24.0,7.1,2002,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Comedy', 'Drama', 'Romance']",['J.C.Staff'],23.0
Appleseed (Movie),1.0,7.05,0,Movie,Finished Airing,R - 17+ (violence & profanity),1 hr 45 min,['Sci-Fi'],['Digital Frontier'],1.0
Arc the Lad,26.0,6.51,1999,TV,Finished Airing,R - 17+ (violence & profanity),22 min per ep,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']",['Bee Train'],22.0
Avenger,13.0,5.88,2003,TV,Finished Airing,R - 17+ (violence & profanity),23 min per ep,"['Adventure', 'Fantasy', 'Sci-Fi']",['Bee Train'],23.0
Beck,26.0,8.29,2004,TV,Finished Airing,R - 17+ (violence & profanity),24 min per ep,['Drama'],['Madhouse'],24.0
Blue Gender,26.0,7.01,1999,TV,Finished Airing,R+ - Mild Nudity,23 min per ep,"['Adventure', 'Drama', 'Horror', 'Sci-Fi']",['AIC'],23.0
Chobits,26.0,7.39,2002,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Comedy', 'Drama', 'Romance', 'Sci-Fi', 'Ecchi']",['Madhouse'],24.0
Chrno Crusade,24.0,7.6,2003,TV,Finished Airing,R - 17+ (violence & profanity),23 min per ep,"['Action', 'Romance', 'Supernatural']",['Gonzo'],23.0
D.N.Angel,26.0,7.16,2003,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Action', 'Comedy', 'Fantasy', 'Romance']",['Xebec'],23.0
